id,title,bibtext,publisher,date,count,unit,externalsource
fpp,"French Political Pamphlets, 1547-1648."," (New Haven: Research Publications, 1978. 86 reels).",New Haven: Research Publications,1978,86,reels,
fnew,French Political Pamphlets: From Collections in the Newberry Library. (1560-1653).," (Wooster, OH: Bell & Howell, 1968. 28 reels)","Wooster, OH: Bell & Howell",1968,28,reels,
fmac,"French Revolutionary Materials, Maclure Collection, University of Pennsylvania."," (New Haven, CT: Research Publications Inc., 1972. 372 reels)","New Haven, CT: Research Publications Inc.",1972,372,reels,
frrc,French Revolution Research Collection.," (Oxford; New York: Pergamon Press; [Boston, Mass: distributed by G. K. Hall] c1989-. 7,861 microfiches)","Oxford; New York: Pergamon Press; [Boston, Mass: distributed by G. K. Hall] ",c1989-,7861,microfiches,
gdtr,Gazette des Tribunaux: Journal de Jurisprudence et des Debats Judiciares.," (Paris, France: A.C.R.R.P., 19--)","Paris, France: A.C.R.R.P",,0,,
GEDCC,"The General Department of the Central Committee, 1953-1966 From the Holdings of the Russian State Archive of Contemporary History Moscow, Russia."," (Woodbridge, CT: Research Publications, 2000. 118 reels).","Woodbridge, CT: Research Publications",2000,118,reels,
gbl,German Baroque Literature: Harold Jantz Collection.," (New Haven, CT: Research Publications Inc., 1973-1974. 611 reels)","New Haven, CT: Research Publications Inc.",1973-1974,611,reels,
gwb,Germany (West). Bundesrat.," (Verhandlungen des Deutschen Bundestages und des Bundesrates. (Protokolle, Drucksachen, Register). Verhandlungen des Bundesrates. 1949-1983. Munchen: C.H. Beck, K.B. Saur, 1982. 1395 microfiches)","Verhandlungen des Deutschen Bundestages und des Bundesrates. (Protokolle, Drucksachen, Register). Verhandlungen des Bundesrates. 1949-1983. Munchen: C.H. Beck, K.B. Saur",1982,1395,microfiches,
bund,Germany (West). Bundestag.," (Verhandlungen des Deutschen Bundestages und des Bundesrates (Protokolle, Drucksachen, Register). Verhandlungen des Deutschen Bundestages. Munchen: C.H. Beck, K.G. Saur. 540 microfiches)","Verhandlungen des Deutschen Bundestages und des Bundesrates (Protokolle, Drucksachen, Register). Verhandlungen des Deutschen Bundestages. Munchen: C.H. Beck, K.G. Saur",,540,microfiches,
gaa,Germany. Auswartiges Amt.," (Die grosse Politik der europaischen Kabinette, 1871-1914. Berlin: Deutsche Verlagsgesellschaft fur Politik und Geschichte, 1922-1927. 185 microfiches)","Die grosse Politik der europaischen Kabinette, 1871-1914. Berlin: Deutsche Verlagsgesellschaft fur Politik und Geschichte",,185,microfiches,
grei,Germany. Reichskommissar fur Uberwachung der Offenlichen Ordnung.," (Lageberichte (1920-1929) und Meldungen (1929-1933): Bestand R 134 des Bundesarchivs, Koblenz/ Reichskommissar fur Uberwachung der Offenlichen Ordnung und Nachrichtensammelstelle im Reichsministerium des Innern. Munchen; New York: K.G. Saur, 1979. 400 microfiches)","Lageberichte (1920-1929) und Meldungen (1929-1933): Bestand R 134 des Bundesarchivs, Koblenz/ Reichskommissar fur Uberwachung der Offenlichen Ordnung und Nachrichtensammelstelle im Reichsministerium des Innern. Munchen; New York: K.G. Saur",1979,400,microfiches,
GOTHF,"Gothic Fiction: Rare Printed Works from the Sadleir-Black Collection of Gothic Fiction at the Alderman Library, University of Virginia."," (Marlborough, Wiltshire, England : Adam Matthew, 2002. 134 reels).","Marlborough, Wiltshire, England : Adam Matthew",2002,134,reels,
cgh,Government publications relating to the Cape of Good Hope to 1910," (East Ardsley, Yorkshire, England: EP Microform Ltd.)","East Ardsley, Yorkshire, England: EP Microform Ltd.",,0,,
GOVPRN,"Government Publications Relating to Nigeria, 1862-1960."," (East Ardsley, Eng: EP Microform, 1974. 178 reels).","East Ardsley, Eng: EP Microform",1974,178,reels,
gbcc,Great Britain. Court of Chancery.," (Patent rolls, 1558-1837. 15 reels)",,,15,reels,
gbhoc,Great Britain. Parliament. House of Commons.," (British sessional papers. London: H.M. Stationery Office. 84,150 microfiches)",London: H.M. Stationery Office.,,84150,microfiches,
gbpc,Great Britain. Privy Council.," (London, England, Public Record Office. 12 reels)","London, England, Public Record Office",,12,reels,
gbpro,"Great Britain. The microfilm holdings related to Great Britain are extensive, including large runs of documents from the Cabinet, Colonial Office, Foreign Office, Home Office, and War Office.  To search these holdings, go to the frontdoor of the Microform Home Page and enter a search in the available box for ""Great Britain"" and the name of the series in which you are interested (Colonial Office, etc.).",,,,0,,
GUAINDX,"The Guardian Index, 1842-1928."," (Marlborough, Wiltshire, England : Adam Matthew Publications, 1994. 65 Reels).","Marlborough, Wiltshire, England : Adam Matthew Publications",1994,65,Reels,
GUAINDX2,"The Guardian Index, 1929-1972."," (Marlborough, Wiltshire : Adam Matthew Publications,1993-1994. 1427 Fiches).","Marlborough, Wiltshire : Adam Matthew Publications",1993-1994,1427,Fiches,
GUAINDX3,"The Guardian Index, 1973-1985."," (Marlborough, Wiltshire, England : Adam Matthew, 1995. 337 fiches).","Marlborough, Wiltshire, England : Adam Matthew",1995,337,fiches,
gube,Gubernatorial Reports of Russian Imperial Governors.," (Leiden: IDC, 1997--. 889 fiche)",Leiden: IDC,1997--,889,fiche,
GULAG,"The GULAG Press, 1920-1937: State Archive of the Russian Federation & Federal Archival Service of Russia, Moscow; International Institute for Social History (IISH), Amsterdam."," (Leiden : IDC, 2000. 649 fiches).",Leiden : IDC,2000,649,fiches,
her,The Harleian Manuscripts.," (Hassocks, Sussex, England : Harvester Press, 1979-. 211 reels).","Hassocks, Sussex, England : Harvester Press",1979-,211,reels,
heb,Hebrew Books from the Harvard College Library.," (Munich; New York: K.G. Saur, 1990)",Munich; New York: K.G Saur,-1990,0,,
her,Herstory.," (Wooster, OH: Bell & Howeel, 1972. 23 reels)","Wooster, OH: Bell & Howeel",1972,23,reels,
habs,Historic American Buildings Survey., (Chadwyck-Healey),Chadwyck-Healey,,0,,
HJIR,History of the Jews in Imperial Russia and the USSR.," (Leiden: IDC,1977. 4112 fiches, 202 reels).",Leiden: IDC,1977,4112,reels,
hop,History of Photography.," (Woodbridge, CT: Research Publications Inc, 1979- . 202 reels)","Woodbridge, CT: Research Publications Inc",1979- ,202,reels,
HPHM,History of Photography: Monographs.," (Woodbridge, Conn.: Research Publications, 1979. 93 reels).","Woodbridge, Conn.: Research Publications",1979,93,reels,
HRSG,"History of Russia's Study of Genetics from the holdings of Archive of the Russian Academy of Sciences, Moscow, Russia."," (Woodbridge, CT: Research Publications, 1999. 188 reels).","Woodbridge, CT: Research Publications",1999,188,reels,
HOLFU,"Holodomor: Famine in Ukraine, 1932-1933: From the Central State Archive of Public Organizations, Kiev."," (Woodbridge, CT: Primary Source Microfilm, 2004. 158 reels).","Woodbridge, CT: Primary Source Microfilm",2004,158,reels,
HOMBP,The Horace Mann Bond Papers.," (Frederick, Md.: University Publications of America, c1988. 98 reels).","Frederick, Md.: University Publications of America",c1988,98,reels,
hum,Human relations Area Files (HRAF).," (Ann Arbor, MI: University Microfilms International. 22,860 microfiches)","Ann Arbor, MI: University Microfilms International",,22860,microfiches,
imrd,"Ilardi Microfilm Collection of Renaissance Diplomatic Documents, ca. 1450-ca. 1500.", (1825 reels),,,1825,reels,
IMMRSA,"Immigration and Refugee Services of America, 1918-1985: From the Holdings of the Immigration History Research Center, College of Liberal Arts, University of Minnesota.","(Woodbridge, CT: Primary Source Microfilm , 2002-2003. 354 reels).","Woodbridge, CT: Primary Source Microfilm ",2002-2003,354,reels,
IMMAM,The Immigrant in America.," (Woodbridge, CT: Research Publications, 1983-1988. 264 reels).","Woodbridge, CT: Research Publications",1983-1988,264,reels,
ilp,Independent Labour Party (Great Britain).,"
Series III: The Francis Johnson Correspondence. Film B14947 (21 reels)",,,21,reels,
IMMAM,"India in the Age of Empire: the Journals of Michael Pakenham Edgeworth (1812-1881) from the Bodleian Library, Oxford."," (Marlborough, Wiltshire, England: Adam Matthew Publications, 1997. 11 reels).","Marlborough, Wiltshire, England: Adam Matthew Publications",1997,11,reels,
INNR,"Indian Newspaper Reports, c1868-1942, From the British Library, London."," (Marlborough: Adam Matthew Publications Ltd., 2005. 111 reels).",Marlborough: Adam Matthew Publications Ltd.,2005,111,reels,
KROP,"The Inquisitions: Manuscripts of the Spanish,Portuguese and French Inquisitions in the British Library, London."," (Reading, Berkshire; Woodbridge, CT: Primary Source Microfilm, 2002. 35 reels).","Reading, Berkshire; Woodbridge, CT: Primary Source Microfilm",2002,35,reels,
INTLRR,"The Intercepted letters of the Russian Revolutionaries,1883-1917."," (Woodbridge, CT: Research Publications, 1998. 175 reels).","Woodbridge, CT: Research Publications",1998,175,reels,
ipcp,International population census publications: [pre-1945].," (Woodbridge, CT: Research Publications, Inc., 1979- . 254 reels)","Woodbridge, CT: Research Publications, Inc.",1979- ,254,reels,
ICFBI,"Investigative Case Files of the Bureau of Investigation,1908-1922"," (Washington : National Archives and Record Service, 1982. 23 reels). .",Washington : National Archives and Record Service,1982,23,reels,
archn,Les Inventaires des Archives Nationales.," (Paris: Chadwyk-Healey France, 1988-.)",Paris: Chadwyk-Healey France,-1988,0,,
IREPSP,"Ireland: Politics and Society through the Press, 1760-1922."," (Woodbridge, CT: Primary Source Microfilm , 2002-2003. 354 reels).","Woodbridge, CT: Primary Source Microfilm ",2002-2003,354,reels,
IROQ,Iroquois Indians: A Documentary History of the Diplomacy of the Six Nations and Their League.," (Woodbridge, Conn.: Research Publications, 1984. 50 reels).","Woodbridge, Conn.: Research Publications",1984,50,reels,
ipp,Italian Parliamentary Papers., (New York: Clearwater. 155 reels),New York: Clearwater,,155,reels,
JAPUS,"Japan and America, c1930-1955: the Pacific War and the Occupation of Japan. Series One, The Papers of General Robert L. Eichelberger (1886-1961) from the William R. Perkins Library, Duke University."," (Marlborough, Wiltshire [England]: Adam Matthew Publications, 1998. 87 reels).","Marlborough, Wiltshire [England]: Adam Matthew Publications",1998,87,reels,
JEDPP,Jewish Displaced Persons Periodicals from the Collections of the YIVO Institute.," (Bethesda, Md.: University Publications of America, c1990. 33 reels).","Bethesda, Md.: University Publications of America",c1990,33,reels,
JEFU,"Jewish Emigration From Ukraine, 1895-1917: Evreiskaia Emigratsiia Iz Ukrainy, 1895-1917/Kiev Jewish Emigration Society, State Archive of Kiev Oblast."," (Minneapolis, MN: East View Information Services, 2004. 59 reels).","Minneapolis, MN: East View Information Services",2004,59,reels,
JHMP,"The John Henry McCray Papers, 1929-1989."," (Wilmington, DE: Scholarly Resources., [1998]. 18 reels).","Wilmington, DE: Scholarly Resources.",[1998],18,reels,
JRAHS,"Journal of the Royal Australian Historical Society, 1901-1985."," (Sydney, N.S.W.: Royal Australian Historical Society,1986. Microfilming by W. & F. Pascoe, Bagowlah, N.S.W. 36 microfiches).","Sydney, N.S.W.: Royal Australian Historical Society",1986,36,microfiches,
KGCPC,"Karis-Gerhart Collection: From Protest to Challenge, 1964-1990."," (Chicago, Ill.: Cooperative Africana Microfilming Project; Available from Center for Research Libraries, 1999. 101 reels).","Chicago, Ill.: Cooperative Africana Microfilming Project; Available from Center for Research Libraries",1999,101,reels,
KROP,"A.L. Kroeber Papers, 1869-1972.", (185 reels).,,,185,reels,
lab,Labor Union Constitutions and Proceedings.," (Glen Rock, NJ: Microfilming Corp. of America)","Glen Rock, NJ: Microfilming Corp. Of America",,0,,
lpart,Labour Party (Great Britain).," (The archives of the British Labour Party. Brighton, Sussex, England: Harvester Press)","Brighton, Sussex, England: Harvester Press",,0,,
LABSOCJWA,"Labor, Social Justice and World Affairs: The Papers of David A Morse (1907-1990), Director-General of the International Labour Organisation, 1948-1970 from the Seeley G Mudd Manuscript Library, Princeton University."," (Marlborough, Wiltshire, England: Adam Matthew Publications, 2001. 57 reels).","Marlborough, Wiltshire, England: Adam Matthew Publications",2001,57,reels,
lpex,Labour Party (Great Britain). National Executive Committee.," (The archives of the British Labour Party: pt. 1, National Executive Committee minutes of the Labour Representation Committee, 1900-06 and Labour Party since 1906. Reading, Berkshire, England: Research Publications, 1990. 666 microfiches)","Reading, Berkshire, England: Research Publications",1990,666,microfiches,
lrr,Leaders of the Russian Revolution.,,,,0,,
LEAFABG,Leaflets of Anti-Bolsheviks Governments [The Press of the White Movement].," (Soviet Union: s.n., 1917-1920. 192 fiche).",,,192,fiche,
LEFTBRIT,The Left in Britain.," (Hassocks, Sussex: Harvester Press, 1974. 245 reels & 1515 fiche).","Hassocks, Sussex: Harvester Press",1974,245,reels,
LEFTBRIT,The Left in Britain.," (Hassocks, Sussex: Harvester Press, 1974. 245 reels & 1515 fiche).","Hassocks, Sussex: Harvester Press",1974,1515,fiche,
lib,Liberal Party (Great Britain).," (The archives of the British Liberal Party. Series 1: pamphlets and leaflet. Brighton, Sussex, England: Harvester Press, 1978- . 450 microfiches)","The archives of the British Liberal Party. Series 1: pamphlets and leaflet. Brighton, Sussex, England: Harvester Press",1978- ,450,microfiches,
lotr,Local and Traditional Costumes in the Victoria and Albert Museum.," (Haslemere, Surrey, England: Emmett Publishing; Boston: co-published in North America by G.K. Hall, 1987. 51 microfiches)","Haslemere, Surrey, England: Emmett Publishing; Boston: co-published in North America by G.K. Hall",1987,51,microfiches,
guild,"London Directories from the Guildhall Library, 1677-1900."," (New Haven, CT: Research Publications Inc., 1972- . 61 reels)","New Haven, CT: Research Publications Inc.",1972- ,61,reels,
libr,Main Catalog of the Library of Congress.," (New York: K.G. Saur, 1984-. 9000 microfiches)",New York: K.G. Saur,1984-,9000,microfiches,
mkus,The Making of U.S. Policy Series.," (Series published by Chadwyck-Healey, Inc. since 1989.)",Series published by Chadwyck-Healey,-1989,0,,
mang,Mangones Collection.," (Petionville: Haiti, 1974. 23 reels)",Petionville: Haiti,1974,23,reels,
MMLBP,Mary McLeod Bethune Papers: the Bethune Foundation Collection.," (Bethesda, MD: University Publications of America, c1996. 82 reels)","Bethesda, MD: University Publications of America",c1996,82,reels,
mary,"Maryland State Colonization Society Papers, 1827-1894. (31 reels)",,,,31,reels,
MAMDMG,"Masculinity: Men Defining Men and Gentlemen, 1560-1918."," (Marlborough, Wiltshire, England: Adam Matthew Publications, 2000-2003. 66 reels).","Marlborough, Wiltshire, England: Adam Matthew Publications",2000-2003,66,reels,
MMLPC,"The Medieval Manuscript Library of Pembroke College, Cambridge."," (Woodbridge, CT; Reading, Berkshire, England: Primary Source Media : Research Publications, Ltd., 1989. 114 reels).","Woodbridge, CT; Reading, Berkshire, England: Primary Source Media : Research Publications, Ltd.",1989,114,reels,
MEYT,"The Meyerhold Theatre, 1920-1938."," (Woodbridge, CT: Research Publications, 1999. 165 reels).","Woodbridge, CT: Research Publications",1999,165,reels,
MICIPC,Microfilm Corpus of the Indexes to Printed Catalogues of Latin Manuscripts Before 1600 A.D.," (prepared under the direction of F. Edward Cranz...in consultation with P.O. Kristeller. New London, CT: Connecticut College, 1982. 38 reels)","prepared under the direction of F. Edward Cranz...in consultation with P.O. Kristeller. New London, CT: Connecticut College",1982,38,reels,
micro,Microfilm Corpus of Unpublished Inventories of Latin Manuscripts Through 1600 A.D.," (Prepared under the direction of F. Edward Cranz. New London, CT: Connecticut College, [1987]. 340 reels)","Prepared under the direction of F. Edward Cranz. New London, CT: Connecticut College",[1987],340,reels,
MIDEASTDOC,"The Middle East: A Documentary Resource: From Files in the Public Record Office, London."," (Woodbridge, Conn. : Primary Source Microfilm, 2002. 151 reels).","Woodbridge, Conn. : Primary Source Microfilm",2002,151,reels,
MOSCPHA,Moscow Printing House Archive.," (Leiden: IDC, 2004. 907 fiche).",Leiden: IDC,2004,907,fiche,
pet,"Muriel and William Peters Collection, 1817-1968.", (16 reels),,,16,reels,
naacp,"NAACP Papers, 1909-1955.",,,,0,,
NAPW,"The Napoleonic Wars, 1805-1815."," (Woodbridge, CT: Research Publications, 2002. 92 reels).","Woodbridge, CT: Research Publications",2002,92,reels,
naw,"National American Woman Suffrage Association Records, 1839-1961 (inclusive), 1890-1930 (bulk)."," (National American Woman Suffrage Association. Washington, DC: Library of Congress, 1981)",,1981,0,,
nsf,National Security Files.,,,,0,,
NGAY,"The National Gay and Lesbian Task Force Records, 1973-2000: From the Holdings of the Human Sexuality Collection, Division of Rare and Manuscript Collections, Cornell University Library, Ithaca, New York.","(Woodbridge, CT: Primary Source Microfilm, 2001. 298 reels).","Woodbridge, CT: Primary Source Microfilm",2001,298,reels,
nwpp,National Woman's Party Papers.," (National Woman's Party. Sanford, NC: Microfilming Corporation of America)","Sanford, NC: Microfilming Corporation of America",,0,,
nms,"The Negro in the Military Service of the United States, 1639-1886.", (5 reels),,,5,reels,
nb,NewsBank.," (New Canaan, CT: NewsBank Inc., 1970. microfiches)","New Canaan, CT: NewsBank Inc.",1970,0,microfiches,
NEWF,"New England Women and Their Families in the 18th and 19th Centuries: Personal Papers, Letters, and Diaries. Series A, Manuscript Collections from the American Antiquarian Society."," (Bethesda, Md.: University Publications of America, c1997-<1998> 66 reels).","Bethesda, Md.: University Publications of America",C1997-<1998>,66,reels,
NEWYAD,New York Assembly Documents.," (Buffalo, NY: William S. Hein, Microform Division, 1984. 695 reels).","Buffalo, NY: William S. Hein, Microform Division",1984,695,reels,
nico,Nicolaevsky Collection," (Ann Arbor: UMI, 1991-1997. 476 reels)",Ann Arbor: UMI,1991-1997,476,reels,
nai,"North American Indians: Photographs from the National Anthropological Archives, Smithsonian Institution."," (Herman Viola. Chicago: University of Chicago Press, 1974. 52 microfiches)",Herman Viola. Chicago: University of Chicago Press,1974,52,microfiches,
norire,Northern Ireland Political Literature., (Dublin: Irish University Microfilms),Dublin: Irish University Microfilms,,0,,
NCWCN,Norton: the Collected Writings of Caroline Norton.," (Marlborough, Wiltshire: Adam Matthew Publications, 1999. 7reels).","Marlborough, Wiltshire: Adam Matthew Publications",1999,7,reels,
nwac,"Nuclear Weapons, Arms Control, and the Threat of Thermonuclear War: Special Studies, 1961-1995."," (Frederick, Maryland: University Publications of America. 1982-1993. 79 reels)","Frederick, Maryland: University Publications of America.",1982-1993,79,reels,
OFFP,"Official Press, 1846-1956."," (El Paso, TX: Southwest Micropublishing, [1991. 41 reels).","El Paso, TX: Southwest Micropublishing",[1991,41,reels,
OLIPHANT,Oliphant: The Collected Writings of Margaret Oliphant.," (Marlborough, Wiltshire, England: Adam Matthew, 1995. 80 reels).","Marlborough, Wiltshire, England: Adam Matthew",1995,80,reels,
pam,"Pamphlets and Leaflets of the Social Democratic Federation and the British Socialist Party, 1883-1931."," (Hassocks, England: Harvester Press, 1978. 173 microfiches)","Hassocks, England: Harvester Press",1978,173,microfiches,
posr,Pamphlets of Socialist and Reform Movements since 1884.," (Brighton, England: Harvester Microform, 1982-. 1012 micofiches)","Brighton, England: Harvester Microform",1982-,1012,microfiches,
PAST,"Papers of the American Slave Trade Series A, Selections from the Rhode Island Historical Society."," (Bethesda, MD: University Publications of America, c1996. 55 reels).","Bethesda, MD: University Publications of America",c1996,55,reels,
PJF,"The Papers of John Foster Dulles and of Christian A. Herter, 1953-1961. The White House Correspondence and Memoranda Series."," (Frederick, Md. : University Publications of America, c1986. 9 reels).","Frederick, Md. : University Publications of America",c1986,9,reels,
PMS,The Papers of Margaret Sanger," ( [Washington, D.C.] : Library of Congress Photoduplication Service, 1976. 145 reels)."," [Washington, D.C.] : Library of Congress Photoduplication Service",1976,145,reels,
pqv,Papers of Queen Victoria on foreign affairs.,,,,0,,
PRA,"The Papers of the Red Army, 1918-1923."," (Woodbridge, CT: Research Publications, 2000. 76 reels).","Woodbridge, CT: Research Publications",2000,76,reels,
PSHS,"The Papers of Sir Hans Sloane, 1660-1753, From the British Library, London."," (Marlborough, Wiltshire, England : Adam Matthew Publications, 1991. 37 reels).","Marlborough, Wiltshire, England : Adam Matthew Publications",1991,37,reels,
PSTW,Papers of Stephen S. Wise.," (Waltham, Mass.: American Jewish Historical Society,1993. 127 reels).","Waltham, Mass.: American Jewish Historical Society",1993,127,reels,
PWHA,"The Papers of the White Army, 1917-1921."," (Woodbridge, CT: Research Publications, 2000. 71 reels).","Woodbridge, CT: Research Publications",2000,71,reels,
pwhs,The Papers of William H. Seward.," (Woodbridge, Conn. : Research Publications, 1982. 198 reels).","Woodbridge, Conn. : Research Publications",1982,198,reels,
pcc,Partido Comunista de Chile.," (Montreal: Informacion Documental de America Latina, 1977. 94 microfiches)",Montreal: Informacion Documental de America Latina,1977,94,microfiches,
psp,"Penn School Papers, 1862-1976.", (33 reels),,,33,reels,
pra,Philosophy research archives.," (Bowling Green OH: Philosophy Documentation Center, Bowling Green State University)","Bowling Green OH: Philosophy Documentation Center, Bowling Green State University",,0,,
PLCCCPSU,"Plenums of the Central Committee of the Communist Party of the Soviet Union, 1941-1990 From the Holdings of Russian State Archive of Contemporary History, Moscow, Russia."," (Woodbridge, CT: Research Publications, 2001. 181 reels. 659 fiches).","Woodbridge, CT: Research Publications",2001,181,reels,
PLCCCPSU,"Plenums of the Central Committee of the Communist Party of the Soviet Union, 1941-1990 From the Holdings of Russian State Archive of Contemporary History, Moscow, Russia."," (Woodbridge, CT: Research Publications, 2001. 181 reels. 659 fiches).","Woodbridge, CT: Research Publications",2001,659,fiches,
pza,Poalei Zion Archive," (Leiden: IDC, 1998--. 5,039 fiches)",Leiden: IDC,1998--,5039,fiches,
PPISC,Political Pamphlets from the Indian Subcontinent.," ([Bethesda, MD] : University Publication[s] of America, c1990. 1033 fiches).","[Bethesda, MD] : University Publication[s] of America",c1990,1033,fiches,
POLACTJWH,"Political Activities of the Johnson White House, 1963-1969."," (Frederick, MD : University Publications of America, 1987. 67 reels).","Frederick, MD : University Publications of America",1987,67,reels,
PPAREV,"Politics in the Age of Revolution, 1715-1848."," (Marlborough, Wiltshire, England : Adam Matthew Publications, 1994. 25 reels).","Marlborough, Wiltshire, England : Adam Matthew Publications",1994,25,reels,
popI,Popular newspapers during World War I.," (Marlborough, England: Adam Matthew Publications, 1996. 62 reels)","Marlborough, England: Adam Matthew Publications",1996,62,reels,
popII,Popular newspapers during World War II.," (Marlborough, Eng. : Adam Matthew Publications, 1992. 83 reels).","Marlborough, Eng. : Adam Matthew Publications",1992,83,reels,
PDDE,"President Dwight D. Eisenhower's Office Files, 1953-1961."," (Bethesda, MD : University Publications of America, c1990. 64 reels)","Bethesda, MD : University Publications of America",c1990,64,reels,
PFDR,"President Harry S. Truman's Office Files, 1945-1953."," . (Frederick, MD : University Publications of America, c1989. 84 reels).",". (Frederick, MD : University Publications of America",c1989,84,reels,
PFDR,"President Franklin D. Roosevelt's Office Files, 1933-1945."," (Bethesda, MD : University Publications of America, c1990. 167 reels).","Bethesda, MD : University Publications of America",c1990,167,reels,
PT1728,"Poalei Tsion, 1917-1928."," (Leiden, The Netherlands : IDC, 1998. 5039 fiches).","Leiden, The Netherlands : IDC",1998,5039,fiches,
prjfk,"President John F. Kennedy's office files, 1961-1963."," (Frederick, MD: University Publications of America, 1989. 103 reels)","Frederick, MD: University Publications of America",1989,103,reels,
prov,"Province in rebellion: a documentary history of the founding of the Commonwealth of Massachusetts, 1774-1775."," (L. Kinvin Wroth; George H. Nash III; Joel Meyerson. Cambridge, MA Harvard University Press, 1975. 31 microfiches)","L. Kinvin Wroth; George H. Nash III; Joel Meyerson. Cambridge, MA Harvard University Press",1975,31,microfiches,
pur,Publications Proscribed by the Government of India.," (Woodbridge, Conn. : Research Publications, 1985. 35 reels)","Woodbridge, Conn. : Research Publications",1985,35,reels,
pur,"Public utilities reports, containing decisions of the regulatory comissions and of state and federal courts."," (Washington, D.C., Rochester, N.Y., Public Utilities Reports, Inc., 1934-1953)","Washington, D.C., Rochester, N.Y., Public Utilities Reports, Inc.",,0,,
RAFERL,Radio Free Europe-Radio Liberty.," (Zug, Switzerland: Inter Documentation Company, 1982. 3,977 fiche).","Zug, Switzerland: Inter Documentation Company",1982,3977,fiche,
rsv,"Records of a Scottish village: Lasswade, 1650-1750."," (Cambridge, Cambridgeshire: Chadwyck-Healey, 1982. 6 microfiches)","Cambridge, Cambridgeshire: Chadwyck-Healey",1982,6,microfiches,
rev,"Records of an English village: Earls Colne, 1400-1750."," (Cambridge, Cambridgeshire: Chadwyck-Healey, 1980- . 70 microfiches)","Cambridge, Cambridgeshire: Chadwyck-Healey",1980- ,70,microfiches,
raca,"Records of the American Committee on Africa, 1952-1985 (inclusive)."," (Bethesda, Maryland: University Publications of America, 1993. 51 reels)","Bethesda, Maryland: University Publications of America",1993,51,reels,
RABSP,Records of Ante-bellum Southern Plantations: From the Revolution through the Civil War., (Bethesda : University Publications of America. 639 reels).,,,639,reels,
RBSCP,"Records of the Brotherhood of Sleeping Car Porters. Series A, Holdings of the Chicago Historical Society and the Newberry Library, 1925-1969."," (Bethesda, MD : University Publications of America, 1990. 50 reels).","Bethesda, MD : University Publications of America",1990,50,reels,
RBUIA,"Records of the Bureau of Indian Affairs: Central Classified Files, 1907-1939."," (Bethesda, MD : University Publications of America, 1995. 89 reels).","Bethesda, MD : University Publications of America",1995,89,reels,
RBIA,"Records of the Bureau of Indian Affairs: Central Classified Files, 1907-1939."," (Bethesda, MD : University Publications of America, c1995-<2006>. 89 reels).","Bethesda, MD : University Publications of America",c1995-<2006>,89,reels,
rbr,"Records of the Bureau of Refugees, Freedmen, and Abandoned Lands.",,,,0,,
rce,"Records of the Church of England during the Commonwealth period (1643-61): Comm. I, nos. 1-145."," (Lambeth Palace Library. London: World Microfilms Publications, 1978. 36 reels)",Lambeth Palace Library. London: World Microfilms Publications,1978,36,reels,
ROINS,"Records of the Immigration and Naturalization Service. Series A, Subject Correspondence Files."," (Bethesda, MD : University Publications of America, 1992. 103 reels).","Bethesda, MD : University Publications of America",1992,103,reels,
roci,"Records of the Office of the Secretary of the Interior Relating to the Suppression of the African Slave Trade and Negro Colonization, 1854-1872. (10 reels)",,,,10,reels,
RESOCLC,"Records of the Southern Christian Leadership Conference, 1954-1970."," (Bethesda, MD : University Publications of America, c1995. 82 reels).","Bethesda, MD : University Publications of America",c1995,82,reels,
RSPEGM,Records of Southern Plantations from Emancipation to the Great Migration.," (Frederick, MD : University Publications of America, c2000. 207 reels).","Frederick, MD : University Publications of America",c2000,207,reels,
RESUACB,"Records of the Subversive Activities Control Board, 1950-1972."," (Frederick, MD : University Publications of America, c1988. 102 reels).","Frederick, MD : University Publications of America",c1988,102,reels,
REUSNWCT,"Records of the United States Nuernberg War Crimes Trials: United States of America v. Otto Ohlendorf et al. (case IX) September 15, 1947-April 10, 1948."," (Washington : National Archives and Records Service, General Services Administration, 1973. 38 reels).","Washington : National Archives and Records Service, General Services Administration",1973,38,reels,
RECBHL,"Renaissance Commonplace Books from the British Library, London."," (Marlborough, Wiltshire, England : Adam Matthew Publications, 2002. 15 reels).","Marlborough, Wiltshire, England : Adam Matthew Publications",2002,15,reels,
RECBHL,Renaissance Commonplace Books from the Huntington Library.," (Marlborough, Wiltshire, England : Adam Matthew Publications, 1994. 4 reels).","Marlborough, Wiltshire, England : Adam Matthew Publications",1994,4,reels,
rwbus,"Records of the Women's Bureau of the U.S. Department of Labor, Part 1, 1918-1965 (inclusive). (68 reels)", (United States. Women's Bureau. ,"Frederick, Maryland: University Publications of America",-1986,0,,
RUSAG,"Russian Avant-garde, 1904-1946."," (Leiden, Netherlands: IDC, 2005. 1,361 fiche).","Leiden, Netherlands: IDC",2005,1361,fiche,
russ,Russian history and culture: scarce books on 19th and 20th century Russia from the Helsinki University Library.," (Ann Arbor, MI: University Microfilms International, 1978- )","Ann Arbor, MI: University Microfilms International",-1978,0,,
RUSIFA,"Russian Intelligence Files on Asia, 1651-1917."," (Leiden : IDC Publishers, 2006. 93 reels).",Leiden : IDC Publishers,2006,93,reels,
RUSMILINT,"Russian Military Intelligence on Asia: Secret Prints, 1883-1913."," (Leiden: IDC Publishers, 2006. 502 fiche).",Leiden: IDC Publishers,2006,502,fiche,
